id,Name,OpeningHour,ClosigHour
1,Jabbersphere,7:07,16:43
2,Meevee,6:42,16:03
3,Fiveclub,7:29,19:07
4,Abatz,6:17,20:32
5,Roombo,6:09,18:13
6,Youfeed,7:32,18:58
7,Dabjam,7:30,19:03
8,Flashset,6:20,19:18
9,Skipfire,6:34,12:07
10,Wikizz,7:57,20:10
11,Meedoo,7:30,19:31
12,Tagopia,6:17,14:56
13,Skajo,7:17,15:13
14,Quinu,6:16,15:58
15,Zoonoodle,7:06,15:39
16,Livefish,7:02,12:35
17,Rhynoodle,6:39,20:46
18,Bubblemix,6:43,14:25
19,Gabtune,6:47,19:49
20,Meembee,7:10,12:17
21,Eamia,6:25,19:37
22,Flipbug,7:42,17:37
23,Mydo,7:02,17:12
24,Plajo,6:56,17:43
25,Zoonder,7:04,18:28
26,Fiveclub,6:32,17:49
27,Topicblab,6:01,14:40
28,Meejo,7:42,19:34
29,Eidel,7:34,12:39
30,Meedoo,7:03,17:10
31,Fanoodle,6:47,13:23
32,Plambee,7:52,16:44
33,Rhyzio,7:22,14:52
34,Thoughtstorm,7:42,18:12
35,Voonix,7:55,17:07
36,Katz,6:31,20:27
37,Agimba,7:11,12:07
38,Topicstorm,6:36,19:41
39,Fadeo,7:34,13:16
40,Abatz,6:09,20:03
41,Zoomlounge,7:53,16:55
42,Livepath,6:29,16:24
43,Edgeblab,7:30,12:23
44,Dynabox,6:07,20:17
45,Demimbu,6:55,17:22
46,Zoomdog,7:25,19:20
47,Twimbo,6:57,16:01
48,Skibox,6:18,17:58
49,Geba,6:45,15:38
50,Divanoodle,6:34,14:21
51,Twitterbridge,7:32,19:44
52,Zoomcast,6:24,13:51
53,Pixope,7:11,12:03
54,Rhyloo,7:35,18:51
55,Trilia,6:38,18:53
56,Katz,6:31,18:02
57,Ailane,6:13,19:23
58,Demimbu,6:47,16:41
59,Youopia,7:33,12:07
60,Pixonyx,7:55,14:13
61,Aimbu,6:42,20:14
62,Avamba,6:34,20:56
63,Riffpedia,7:13,15:46
64,Skipfire,6:58,14:40
65,Youspan,6:24,20:44
66,Edgepulse,6:13,18:59
67,Skajo,6:48,16:47
68,Twitterbeat,7:47,14:50
69,Gabcube,6:54,12:45
70,Brainsphere,7:01,13:34
71,Zooveo,7:27,19:17
72,Yotz,7:39,19:22
73,Livetube,6:21,14:05
74,Brainverse,7:54,16:32
75,Cogidoo,7:40,19:29
76,Quaxo,6:19,14:11
77,Jaxnation,6:12,13:10
78,Youspan,6:55,16:21
79,Voonix,7:21,15:45
80,Brainlounge,7:33,19:35
81,Wordtune,7:17,20:03
82,Lazzy,6:40,14:43
83,Roodel,6:31,19:45
84,Twinder,6:06,17:41
85,Mymm,6:22,12:40
86,Zoomdog,6:37,16:04
87,Digitube,6:05,18:10
88,Dynazzy,7:25,17:32
89,Skimia,6:58,18:39
90,Babblestorm,6:37,13:53
91,Skinix,6:33,14:35
92,Meembee,7:06,16:43
93,Skidoo,7:33,14:01
94,Yamia,6:12,18:52
95,Edgeify,7:24,14:37
96,Youspan,7:18,20:04
97,Aivee,7:38,13:19
98,Zoozzy,7:21,16:54
99,Photospace,7:23,16:10
100,Tazz,6:10,16:25
101,Thoughtstorm,6:46,17:41
102,Aivee,6:46,17:11
103,Vinte,7:11,18:44
104,Plambee,6:59,13:56
105,Photofeed,7:44,15:10
106,Rhynoodle,7:23,15:40
107,Ainyx,7:25,16:23
108,Dynazzy,6:26,16:30
109,Skyvu,6:35,13:26
110,Mydo,7:35,12:33
111,Roodel,7:40,14:42
112,Edgeblab,6:42,12:34
113,Twitterlist,6:42,19:54
114,Lazz,7:36,19:55
115,Jayo,7:11,16:04
116,Twitterworks,7:46,13:00
117,Bubblebox,7:32,20:18
118,Quire,7:25,15:26
119,Shuffledrive,6:12,12:10
120,Mynte,7:22,15:58
121,Livepath,7:10,18:12
122,Kare,6:27,17:39
123,Viva,7:56,16:06
124,Twiyo,6:52,12:42
125,Midel,7:49,18:40
126,Meejo,7:17,13:53
127,Zoomcast,7:48,18:44
128,Meezzy,7:10,12:08
129,Photospace,6:02,13:32
130,Vinder,7:33,12:12
131,Mydeo,7:40,14:56
132,Vidoo,6:29,20:36
133,Skinder,6:34,13:03
134,Fiveclub,6:08,19:13
135,Muxo,6:50,12:06
136,Skaboo,6:01,13:48
137,Wikizz,6:59,19:39
138,Digitube,6:56,18:28
139,Mydeo,7:30,19:16
140,Topiclounge,7:06,15:20
141,Tazz,7:34,14:32
142,Latz,6:20,15:59
143,Browsedrive,7:33,13:33
144,Zoombeat,6:26,20:37
145,Zazio,7:34,14:51
146,Agimba,6:06,19:06
147,Feedmix,7:55,13:32
148,Oyondu,7:21,13:18
149,Jabberbean,6:47,15:28
150,Browsezoom,6:32,19:41
151,Aimbo,7:27,18:24
152,Browsezoom,6:41,17:15
153,Skyvu,6:39,17:35
154,Devpulse,7:38,14:26
